Hostname,Reverse Hostname,gWMS GRAM,gWMS HTC,BDII GRAM,BDII HTC,CE-Collector,Gratia,Assigned to Contact,Notes from Contact
smuosg1.hpc.smu.edu,edu.smu.hpc.smuosg1,2015-12-08,,2016-03-10,,,,Chris,Plans to decomm in the next 3 months
osgce.hepgrid.uerj.br,br.uerj.hepgrid.osgce,2016-04-10,,2016-03-10,,,,Chris,Emailed
novastore.farm.particle.cz,cz.particle.farm.novastore,2016-04-10,,,2016-03-10,,,Chris,"Emailed: CE data is matches, purpose: CE (+ local storage / disk cache) for VO NOvA, production, Mid-term goal: Continue with processing offsite (non-FNAL) NOvA jobs. We are in process replacing our local batch system (torque -> HTCondor). We'll need new CE (for new local HTCondor batch) and we plan to use just HTCondor-CE for this new installation. We will gradually move our worker nodes from torque batch to new HTCondor batch within next few months (~ 3-6) and we want to be able to submit NOvA jobs to both batches during this transition. Upgrade: Only when there is a security/functionality they need"
atlas-net2.bu.edu,edu.bu.atlas-net2,2016-04-10,,2016-03-10,,,,Chris,"Its used for GK atlas work load on T2 sites. Its in production and one of the most important.
Mid-term Goals is to have both running then decide what to do with each.
They working on bringing up another HTConder GK, but they are a bit of a ways from that 
Updates based on security/functionality.. "
uscms1.fltech-grid3.fit.edu,edu.fit.fltech-grid3.uscms1,2016-04-10,,2016-03-10,,,,Chris,Left VM
ce.grid.iu.edu,edu.iu.grid.ce,,,2016-03-10,,,,Chris,Emailed Scott
ouhep0.nhn.ou.edu,edu.ou.nhn.ouhep0,,,2016-03-10,,,,Chris,"Left VM, CE DATA: Actually, I'm not entirely sure what the difference is between the two, 
and where that's configured. Could you please remind me? I have no 
opinion in this matter, and I'll gladly point both of them to the one 
they're supposed to report to …

Purpose:

You mean both ouhep0 and tier2-01? tier2-01 is the gatekeeper of our 
ATLAS Tier2 cluster (OU_OCHEP_SWT2), and ouhep0 of our Tier3 cluster 
(OUHEP_OSG).

Both are Production


They will continue running for the medium term future, but we'll update 
them both soon.

Yes, we'll add HTCondor-CE soon after the holidays, but we don't have 
any immediate plans to remove GRAM, unless we're told we need to.

That depends on the site. OUHEP_ITB is auto-updated immediately after a 
new OSG version comes out, but then again, it's our ITB site, so it's 
not used for production. OUHEP_OSG is also updated somewhat frequently, 
since it's an interactive Tier3 andnot used for critical production. 
OU_OCHEP_SWT2 is our main Tier2 cluster, so we like to keep that as 
stable as possible, and only update that when there are problems or 
security issues, or if we need new features for production running. So I 
guess the answers for three sites would be essentially A, B, and C, 
respectively.
"
tier2-01.ochep.ou.edu,edu.ou.ochep.tier2-01,,,2016-03-10,,,,Chris,"Left VM, See entry above"
grid1.oscer.ou.edu,edu.ou.oscer.grid1,2016-04-10,,2016-03-10,,,,Chris,"Left VM, That's the production gatekeeper of OU_OSCER_ATLAS, the OU campus 
supercomputer, which is also used for ATLAS Tier2 production, on an 
opportunistic basis. That's usually kept fairly up to date by the OSCER 
admins.

This gatekeeper will be replaced by a new physical machine soon after 
the holidays, since the current OSCER cluster is currently being 
replaced with a new cluster. We'll keep the hostname the same, though, 
to avoid having to make OIM changes."
hansen-osg.rcac.purdue.edu,edu.purdue.rcac.hansen-osg,2015-12-08,2016-04-10,2015-12-08,2016-03-10,2016-03-09,,Chris,Left VM
mfosgce.hpc.smu.edu,edu.smu.hpc.mfosgce,2016-04-10,,,,,,Chris,"Appears to be matching expectations, Is Production, The new CE for new cluster. working to convert to HTCondor Goal to be done in/by jan. 

Typically they update when security/functionality is needed. He said that he could do it more often if it was recommended that he do so. "
osgserv01.slac.stanford.edu,edu.stanford.slac.osgserv01,2016-04-10,,2016-03-10,,,,Chris,Left VM
osgserv02.slac.stanford.edu,edu.stanford.slac.osgserv02,2016-04-10,,2016-03-02,,,,Chris,Left VM
top.ucr.edu,edu.ucr.top,2015-12-08,2016-04-10,2015-12-08,2016-03-10,,,Chris,"Emailed, What is the purpose of this host?

It is the Compute Element for our site.  It also serves as a gridftp server (1 of 2).

    Do you consider it to be production, test, or other?

Production

    What is its medium-term (6–12 month) future?

Continue serving in its current capacity.  

     Do you have plans to add HTCondor-CE and remove GRAM? If so, what are they? What is your timeline?

I will switch to htcondor-ce from GRAM.  I have done so, but it appears to not be working.   In the process of troubleshooting.  Have left GRAM running in the meantime.

     Follow up - How does your group determine when/if to do an update in the OSG stack? Please list all that apply.

Both A and C, depending on the urgency of the update.  In general will wait until periods of heavy usage are over."
hepcms-0.umd.edu,edu.umd.hepcms-0,2016-04-10,,,,,,Chris,"Infomation listed should be accurate but should have historical info nothing new
Tier-3 computing center
This is being turned down. 
no plans in the next 6-12 
moving this month to HTC

Updates based onsecurity or 2 month maintenance cycle. 
For more major releases from like 3.1-3.2 they work around users."
gridgk01.racf.bnl.gov,gov.bnl.racf.gridgk01,2015-12-08,2016-04-10,,2016-03-10,2015-11-24,,Chris,Left VM
gridgk05.racf.bnl.gov,gov.bnl.racf.gridgk05,,,2016-03-10,,,,Chris,Left VM
gridtest02.racf.bnl.gov,gov.bnl.racf.gridtest02,,,2015-12-08,2016-03-10,2016-03-09,,Chris,Left VM
stargrid02.rcf.bnl.gov,gov.bnl.rcf.stargrid02,,,2016-03-10,,,,Chris,"Left VM, Emailed"
pdsfgrid.nersc.gov,gov.nersc.pdsfgrid,,,2016-03-10,,,,Chris,"Info is accurate, grid node that the atlas vo box talks to, Produciton, no changes planned, They are not moving to HTC at this time becuase of the way HTCondor internacts with thier system. feel free to email discuss with her. Upgrades only when pressured or security."
cms-sejong.sdfarm.kr,kr.sdfarm.cms-sejong,,,2016-03-10,,,,Chris,"Emailed, CE data matches, Perpuse is a computing element for local CMS group (Korean CMS users) It is not open to public, but only open to local community, e.g. Korean CMS groups. The users log on to local machine and use the computing farm. It does not accept any grid jobs. mid-term goal: We will keep it at least by 2017. No plan to move to HTCondor at this moment. But, if there is a  unless there is a obvious reason, then we will do. Do not update unless pressured by VO/OSG"
ce-itb.ultralight.org,org.ultralight.ce-itb,,,2015-12-08,,,,Chris,Should be Decommed
cit-gatekeeper.ultralight.org,org.ultralight.cit-gatekeeper,2015-12-08,2016-04-10,2015-12-08,2016-03-10,2016-03-09,,Chris,"moving to htcondor in the next couple of weeks. production, lhcgrid uscms, they upgrade based on security 
they update with a maintenance cycle.  one in the group tries it then the others …  "
cit-gatekeeper2.ultralight.org,org.ultralight.cit-gatekeeper2,2015-12-08,2016-04-10,2016-03-10,,,,Chris,"moving to htcondor in the next couple of weeks. production, lhcgrid uscms, they upgrade based on security 
they update with a maintenance cycle.  one in the group tries it then the others …  "
echism.grid.iu.edu,edu.iu.grid.echism,,,2016-03-10,,,,Elizabeth,
kodiak-ce.baylor.edu,edu.baylor.kodiak-ce,2016-04-10,,2016-03-10,,,,Elizabeth,"left vm, got a callback requested an email with documentation, receptive to transitioning, sent email"
brux3.hep.brown.edu,edu.brown.hep.brux3,,,2016-03-10,,,,Elizabeth,Emailed
u2-grid.ccr.buffalo.edu,edu.buffalo.ccr.u2-grid,2016-04-10,,,,,,Elizabeth,left vm
fiupg.hep.fiu.edu,edu.fiu.hep.fiupg,2016-04-10,,,,2016-03-09,,Elizabeth,"this is production, they're planning to transition in a few weeks after OS upgrades and a rebuild of their GUMS server, may be asking for help"
cms-0.mps.ohio-state.edu,edu.ohio-state.mps.cms-0,2016-04-10,,,,,,Elizabeth,busy signal
osg.osc.edu,edu.osc.osg,2016-04-10,,,,,,Elizabeth,"talked to Troy, he had never heard of the transition or HTCondor so I sent him some backround information and installation stuff. They are running production jobs for nova. He says they're not married to GRAM and he will look over the materials after they troubleshoot a few things going on currently."
carter-osg.rcac.purdue.edu,edu.purdue.rcac.carter-osg,2015-11-24,2016-04-10,2015-11-20,2016-03-10,2016-03-09,,Elizabeth,[from TC: note the dates - this host appears to have transitioned between 11/24 and 12/8!] Yay!
rossmann-osg.rcac.purdue.edu,edu.purdue.rcac.rossmann-osg,,,2015-12-08,,,,Elizabeth,
antaeus.hpcc.ttu.edu,edu.ttu.hpcc.antaeus,2016-04-10,,2015-12-08,2016-03-10,,,Elizabeth,
